name,facebook_handle,twitter_handle,party,state,PEC135
Abílio Santana,pastorabiliosantana,AbilioSantanna,PSC,BA,
Abou Anni,DeputadoFederalAbouAnni,,PSL,SP,1
Acácio Favacho,deputadofederalacaciofavacho,AcacioFavacho,MDB,AM,
Adriana Ventura,adriventurasp,adriventurasp,NOVO,SP,0
Aécio Neves,AecioNevesOficial,AecioNeves,PSDB,MG,
Afonso Florence,afonsoflorence13,AfonsoFlorence,PT,BA,0
Afonso Hamm,depafonsohamm,DepAfonsoHamm,PP,RS,
Afonso Motta,AfonsoMottaOpina,afonso_motta,PDT,RS,0
Aguinaldo Ribeiro,depaguinaldoribeiro,depaguinaldo11,PP,PB,
Airton Faleiro,airtonfaleiropt,FaleiroAirton,PT,PA,0
AJ Albuquerque,albuquerque.aj,,PP,CE,
Alan Rick,alanrickoficial,Alan_Rick,DEM,AC,1
Alceu Moreira,depalceumoreira,Alceu_Moreira,MDB,RS,1
Alcides Rodrigues,alcidesrodriguesoficial,,PATRIOTA,GO,0
Alê Silva,AleSilvaOficial,alesilva_38,REPUBLICANOS,MG,1
Alencar Santana,AlencarBraga13,AlencarBraga13,PT,SP,0
Alessandro Molon,MolonRJ,alessandromolon,PSB,RJ,0
Alex Manente,alexmanente,AlexManente23,CIDADANIA,SP,0
Alexandre Frota,alexandrefrotaoficial77,77_frota,PSDB,SP,0
Alexandre Leite,AlexandreLeite.SP,lexandreleite,DEM,SP,0
Alexandre Padilha,padilhando,padilhando,PT,SP,0
Alexandre Serfiotis,alexandreserfiotis,AleSerfiotis,PSD,RJ,
Alexis Fonteyne,alexisfonteyne30,AlexisFonteyne,NOVO,SP,1
Alice Portugal,deputadaaliceportugal,Alice_Portugal,PCdoB,BA,0
Aliel Machado,alielmachado,alielmachado,PV,PR,0
Aline Gurgel,dep.alinegurgel,alinegurgel_ap,REPUBLICANOS,AM,1
Aline Sleutjes,alinesleutjes,AlineSleutjes,PROS,PR,1
Altineu Côrtes,altineucortesrj,Altineu,PL,RJ,0
Aluisio Mendes,aluisiomendesma,aluisiomendesma,REPUBLICANOS,MA,1
Amaro Neto,amaronetotv,,REPUBLICANOS,ES,1
André Abdon,depandreabdon,DepAndreAbdon,PP,AM,
André de Paula,andredepaulaoficial,Andredepaula55,PSD,PE,0
André Ferreira,andreferreira.pe,aferreira2222,PL,PE,1
André Figueiredo,DeputadoAndreFigueiredo,andrepdt12,PDT,CE,0
André Fufuca,andrefufuca,DepAndreFufuca,PP,MA,
André Janones,AndreJanones,AndreJanonesAdv,AVANTE,MG,0
Angela Amin,AngelaAmin11,DeputadaAngela,PP,SC,0
Antonio Brito,antoniobritobahia,,PSD,BA,0
Arlindo Chinaglia,depchinaglia,depchinaglia,PT,SP,0
Aroldo Martins,aroldomartinsoficial,aroldomartins,REPUBLICANOS,PR,1
Arthur Oliveira Maia,arthur.oliveiramaia,DepArthurMaia,DEM,BA,
Assis Carvalho,assiscarvalho.pt,assis_carvalho,PT,PI,
Átila Lira,deputadoatilalira,deputadoatila,PP,PI,0
Augusto Coutinho,augusto.coutinho,dep_acoutinho,REPUBLICANOS,PE,0
Áurea Carolina,aureacarolina,aureacarolinax,PSOL,MG,0
Aureo Ribeiro,AureoRibeiroRJ,AureoRibeiroRJ,SOLIDARIEDADE,RJ,0
Bacelar,joaobacelaroficial,DeputadoBacelar,PV,BA,0
Baleia Rossi,baleia.rossi,Baleia_Rossi,MDB,SP,0
Benedita da Silva,blogdabenedita,dasilvabenedita,PT,RJ,0
Benes Leocádio,BenesLeocadioRN,benesleocadiorn,REPUBLICANOS,RN,1
Beto Faro,DeputadoBetoFaro,BetoFaroPT,PT,PA,0
Beto Pereira,BetoPereiraMS,betopereirams,PSDB,MS,0
Beto Rosado,betorosado1111,BetoRosado,PP,RN,0
Bia Kicis,biakicisoficial,Biakicis,PL,DF,1
Bibo Nunes,bibonunes,bibonunes1,PL,RS,1
Bira do Pindaré,bira.dopindare,BiradoPindare,PSB,MA,0
Boca Aberta,marabocaabertaparana,bocaabertajr,PROS,PR,1
Bosco Costa,boscocostase,BoscoCosta_SE,PL,SE,0
Bosco Saraiva,BoscoSaraivaAM,boscosaraiva,SOLIDARIEDADE,AM,0
Bruna Furlan Deputada Estadual,BrunaFurlanDeputadaEstadual,DepBrunaFurlan,PSDB,SP,
Cabo Junio Amaral,cabojunioamaral,cabojunioamaral,PL,MG,1
Cacá Leão,CacaLeaoOficial,CacaLeao,PP,BA,1
Camilo Capiberibe,camilocapiberibe,CamiloPSB,PSB,AM,0
Capitão Alberto Neto,capitaoalbertoneto,capalbertoneto,PL,AM,1
Capitão Augusto,capitaoaugustooficial,capitaoaugusto_,PL,SP,1
Capitão Wagner,capitaowagnersousa,capitao_wagner,PROS,CE,1
Carla Zambelli,ZambelliOficial,Zambelli2210,PL,SP,1
Carlos Bezerra,carlosbezerraoficial,,MDB,MT,
Carlos Chiodini,CarlosChiodini,carloschiodini,MDB,SC,1
Carlos Gomes,carlosgomesdep,carlosgomesdep,REPUBLICANOS,RS,1
Carlos Gurgel,joaocarlosgurgel,depgurgel,PL,RJ,1
Carlos Jordy,carlosjordyoficial,carlosjordy,PL,RJ,1
Carlos Sampaio,DeputadoCarlosSampaio,carlossampaio_,PSDB,SP,0
Carlos Veras,carlosveraspt,carlosveraspt,PT,PE,0
Carlos Zarattini,dep.zarattini,CarlosZarattini,PT,SP,0
Carmen Zanotto,CarmenZanottoSC,carmen_zanotto,CIDADANIA,SC,1
Carol De Toni,carolinerdetoni,CarolDeToni,PL,SC,1
Cássio Andrade,cassioandrade40,cassio4011,PSB,PA,
Celina Leão,CelinaLeaoDf,celinaleao,PP,DF,1
Célio Moura,CelioMouraTO,CelioMouraTO,PT,TO,0
Célio Studart,celio.studart,CelioStudart,PSD,CE,0
Celso Sabino,celsosabinooficial,depcelsosabino,PSL,PA,
Charles Fernandes,charlesfernandesoficial,CharlesFederal,PSD,BA,
Charlles Evangelista,charlles.evangelista,charllesevg,PP,MG,1
Chico D'Angelo,chicodangelo,chico_dangelo,PDT,RJ,0
Chris Tonietto,ChrisTonietto,ToniettoChris,PL,RJ,1
Christiane Yared,ChristianeYared,ChristianeYared,PP,PR,1
Christino Áureo,christino.aureo,christinoaureo,PP,RJ,0
Clarissa Garotinho,ClarissaGarotinhoRJ,dep_clarissa,PROS,RJ,1
Cláudio Cajado,deputadocajado,deputadocajado,PP,BA,1
Cleber Verde,cleberverde.1010,CleberVerde10,REPUBLICANOS,MA,1
Coronel Armando,coronel.armando,cel_armando,PL,SC,1
Coronel Tadeu,coroneltadeu,CoronelTadeu,PL,SP,1
Covatti Filho,covatti.filho,CovattiFilho,PP,RS,
Da Vitoria,deputadodavitoria,depdavitoria,PP,ES,1
Dagoberto Nogueira,dagobertonogueirams,depdagoberto,PSDB,MS,0
Daniel Almeida,depdanielalmeida,Daniel_PCdoB,PCdoB,BA,0
Daniel Coelho,DanielCoelho23,DanielCoelho23,CIDADANIA,PE,0
Daniel Freitas,depdanielfreitas,DFDanielFreitas,PL,SC,1
Daniel Trzeciak,danieltrzeciak45,TrzeciakDaniel,PSDB,RS,1
Daniela Carneiro,danielacarneirooficial,,MDB,RJ,0
Danilo Cabral,danilocabralpe,danilocabralpe,PSB,PE,0
Darci de Matos,Depdarcidematos,depdarcidematos,PSD,SC,1
David Miranda,davidmirandario12,davidmirandario,PDT,RJ,0
David Soares,davidbrsoares,davidbrsoares,DEM,SP,1
Delegado Antonio Furtado,DelegadoAntonioFurtado,DelegadoFurtado,PSL,RJ,1
Delegado Éder Mauro,edermauropa,EderMauroPA,PL,PA,1
Delegado Felício Laterça,delegadofeliciolaterca,FederalFelicio,PP,RJ,1
Delegado Marcelo Freitas,delegadomarcelofreitas,DelegadoFreitas,PSL,MG,1
Delegado Pablo,DelegadoPablo,DelegadoPablo_,PSL,CE,1
Delegado Waldir,delegado.waldir,,PSL,GO,0
Denis Bezerra,Drdenisbezerra,denisbezerra,PSB,CE,
Dep Chiquinho Brazão,depchiquinhobrazao,BrazaoChiquinho,AVANTE,RJ,0
Dep Pr Jefferson Campos,depjefferson,DepJefferson,PL,SP,1
Dep. Adriano do Baldy,AdrianoDoBaldyOficial,adrianodobaldy,PP,GO,
Deputado Arnaldo Jardim,deputadoarnaldojardim,ArnaldoJardim,CIDADANIA,SP,0
Deputado Átila Lins,deputado.atilalins,,PSD,AM,1
Deputado Célio Silveira,celiosilveiradeputadogo,,MDB,GO,1
Deputado Coronel Chrisóstomo,DepCoronelChrisostomo,DepChrisostomo,PL,RO,1
Deputado Edio Lopes,deputadoediolopes,ediolopes,PL,RR,0
Deputado Federal Arthur Lira,arthurliradeputadofederal,ArthurLira_,PP,AL,
Deputado Federal Bilac Pinto,depbilacpinto,depbilacpinto,DEM,MG,
Deputado Federal Dimas Fabiano,depdimasfabiano.toledo,dimasfabianomg,PP,MG,1
Deputado Federal Genecias Noronha,DeputadoGeneciasNoronha,DepGenecias,PL,CE,0
Deputado federal Igor Kannário,deputadoigorkannario,deputadokannar1,DEM,BA,1
Deputado Federal Leo Motta,leomottafederal,leomotta_ofc,REPUBLICANOS,MG,1
Deputado Federal Lincoln Portela,deputadolincolnportela,lincoln_portela,PL,MG,1
Deputado Federal Nereu Crispim,nereucrispim,nereucrispim,PSD,RS,0
Deputado Federal Nicoletti,DeputadoNicoletti,depnicoletti,PSL,RR,1
Deputado Federal Pastor Eurico,deputadopastoreurico,,PL,PE,1
Deputado Federal Ricardo Izar,deputadoricardoizar,RicardoIzar,REPUBLICANOS,SP,1
Deputado Federal Rodrigo de Castro,rodrigocastroMG,MGRodrigoCastro,PSDB,MG,0
Deputado Federal Vicentinho,DeputadoFederalVicentinho,VICENTINHOPT,PT,SP,0
Deputado Federal Zé Silva,deputadofederalzesilva,ZeSilva_,SOLIDARIEDADE,MG,
Deputado Jesus Sérgio,deputadoJesusSergio12,jesussergioac,PDT,AC,1
Deputado João Daniel,deputadojoaodaniel,depjoaodanielpt,PT,SE,0
Deputado João Marcelo,deputadojoaomarcelo,dep_joaomarcelo,MDB,MA,
Deputado Marcelo Nilo,marcelonilodep,,REPUBLICANOS,BA,0
Deputado Marcon,deputadomarcon,deputadomarcon,PT,RS,0
Deputado Maurício Dziedricki,DepMauricioRS,DepMauricioRS,PODEMOS,RS,1
Deputado Nivaldo Albuquerque,deputadonivaldoalbuquerque,NivaldoAlbuq,REPUBLICANOS,AL,1
Deputado Olival Marques,olivalmarquesoficial,OLIVALMARQUES,MDB,PA,1
Deputado Paulo Freire Costa,deputadopaulofreire,DF_PauloFreire,PL,SP,
Deputado Paulo Guedes,pauloguedesmg,deppauloguedes,PT,MG,0
Deputado Paulo Ramos,pauloramosrio,deppauloramos,PDT,RJ,0
Deputado Robério Monteiro,deproberiomonteiro,,PTB,CE,
Deputado Sanderson,deputadosanderson,DepSanderson,PL,RS,1
Deputado Sérgio Brito,deputadofederalsergiobrito,,PSD,BA,0
Deputado Toninho Wandscheer,DeputadoToninho,deputadotoninho,PP,PR,1
Deputado Vanderlei Macris,vanderleimacris,vanderleimacris,PSDB,SP,0
Deputado Zé Carlos,DepZeCarlosPT,Dep_ZeCarlosPT,PT,MA,0
Diego Andrade,diegoandrademg,diegoandrademg,PSD,MG,1
Diego Garcia,diegogarciapr,diegogarciapr,REPUBLICANOS,PR,1
Domingos Neto,DomingosNetoCeara,Domingos_Neto,PSD,CE,0
Domingos Sávio,domingossaviomg,DomingosSavioMG,PL,MG,1
Dr Mauro Nazif,DrMauroNazif,nazif_dr,PSB,RR,1
Dr. Damião,drdamiao,Drdamiaof,PDT,PB,0
Dr. Frederico,DrFredericoMG,DrFredericoMG,PATRIOTA,MG,1
Dr. Hiran Gonçalves,drhirangoncalves,drhiran_,PP,RR,
Dr. Jaziel Pereira,Dr.JazielPereira,jaziel_dr,PL,CE,1
Dr. Leonardo,drleonardomt,DrLeonardomt,REPUBLICANOS,MT,
Dr. Luiz Ovando,drluizovando,drluizovando,PP,MS,1
Dr. Luizinho,doutorluizinho,Doutorluizinhot,PP,RJ,0
Dr. Mário Heringer,deputadomarioheringer,mario_heringer,PDT,MG,0
Dra Marina,DraMarinaPeloPiaui,dramarinapi,REPUBLICANOS,PI,1
Dra. Soraya Manato,drasorayamanato,DraManato,PTB,ES,1
Dulce Miranda,dulcepaganimiranda,,MDB,TO,0
Edilazio Júnior,edilaziojunior,EdilazioJunior_,PSD,MA,0
Edmilson Rodrigues,edmilsonpsol,EdmilsonPSOL,PSOL,PA,
Edna Henrique,ednahenriqueoficial,,REPUBLICANOS,PB,1
Eduardo Barbosa,deputadofederaleduardobarbosa,eduardobarbosa_,PSDB,MG,0
Eduardo Bismarck,eduardobismarckce,eduardobismarck,PDT,CE,0
Eduardo Bolsonaro,bolsonaro.enb,BolsonaroSP,PL,SP,1
Eduardo Braide,eduardobraide,EduardoBraide,PSD,MA,
Eduardo Costa,dep.eduardocosta,dep_eduardo,PODEMOS,PA,1
Eduardo Cury,EduardoCuryOficial,Eduardo_Cury,PSDB,SP,0
Eduardo da Fonte,eduardodafonte,eduardodafonte,PP,PE,0
Efraim Filho,efraimfilho,efraimfilho,DEM,PB,
Elcione Barbalho,elcionebarbalh0,elcionebarbalh0,MDB,PA,
Eli Borges,dep.eliborges,elidiasborges,PL,TO,1
Elias Vaz,PoliticoEliasVaz,EliasVazGyn,PSB,GO,0
Elmar Nascimento,elmarnascimento,elmarnascimento,DEM,BA,
Elvino Bohn Gass,bohngass13,BohnGass,PT,RS,0
Emanuel Pinheiro,emanuelpinheiromt,emanuelzinhomt,MDB,MT,1
Emidinho Madeira,emidinhomadeira,,PL,MG,1
Enio Verri,enioverri,enioverri,PT,PR,0
Enrico Misasi,enricogmisasi,enricomisasi,MDB,SP,1
Erika Kokay,ErikaKokay,erikakokay,PT,DF,0
Eros Biondini,erosbiondini,erosbiondini,PL,MG,1
Euclydes Pettersen,EuclydesPettersenOficial,EuclydesPetter,PSC,MG,1
Evair Vieira de Melo,evair.vieirademelo,EvairdeMelo,PP,ES,1
Expedito Netto,dep.expeditonetto,netto_expedito,PSD,RO,1
Fábio Abreu,fabioabreu.oficial,fabioabreuofc,PSD,PI,0
Fábio Faria,fabiofaria.br,,PSD,RN,
Fábio Henrique,fabiohenriquese,fabiohenriquese,PDT,SE,0
Fábio Mitidieri,fabiogov55,FabioMitidieri_,PSD,SE,
Fábio Ramalho,deputadofabioramalho4311,deputadofabiomg,MDB,MG,
Fábio Reis,fabioreispsd,fabioreis_se,PSD,SE,1
Fabio Schiochet,fabioschiochetoficial,fabio_schiochet,PSL,SC,1
Fábio Trad,hydrorevivellc,f_trad,PSD,MS,0
Fausto Pinato,faustopinato,DepFaustoPinato,PP,SP,0
Felipe Carreras,FelipeCarrerasOficial,felipecarreras,PSB,PE,0
Felipe Francischini,depfelipefrancischini,FFrancischini_,PSL,PR,1
Felipe Rigoni,rigonifelipe,rigoni_felipe,PSL,ES,0
Félix Mendonça Júnior,felixjunior1234,FelixMendoncaJr,PDT,BA,0
Fernanda Melchionna,fernandapsol,fernandapsol,PSOL,RS,0
Fernando Filho,fernandofilhope,fernandofilhope,DEM,PE,0
Fernando Giacobo,fernandogiacobo,fernandogiacobo,PL,PR,
Fernando Monteiro,fernandomonteirope,fmonteiroPE,PP,PE,0
Fernando Rodolfo,FernandoRodolfoTV,depfernandor,PL,PE,
Filipe Barros,filipebarrosoficial,filipebarrost,PL,PR,1
Flávia Arruda,flaviaperes.df,FlaviaArrudaDF,PL,DF,
Flávia Morais,flaviamorais1212,,PDT,GO,
Flaviano Melo,flavianomelooficial,,MDB,AC,
Flávio Nogueira,flavionogueirapi,flavionpi,PT,PI,0
Flordelis,flordelisCantora,depflordelis,PSD,RJ,
Francisco Jr,franciscojrgo,franciscojr_go,PSD,GO,1
Franco Cartafina,francocartafina11,FrancoCartafina,PP,MG,1
Fred Costa,FredCostaDeputado,FredCostaDep,PATRIOTA,MG,1
Frei Anastacio Ribeiro,freianastaciopt,freianastaciopt,PT,PB,0
Gelson Azevedo,GelsonAzevedoRJ,,PL,RJ,
General Girão Monteiro,generalgirao,GeneralGirao,PL,RN,1
General Peternelli,generalpeternelli,GenPeternelli,PSL,SP,1
Geninho Zuliani,geninhozuliani,geninhozuliani,DEM,SP,0
Geovania de Sá,geovaniadesaa,geovaniadesa,PSDB,SC,1
Gervásio Maia,gervasiomaiapb,gervasiomaia,PSB,PB,0
Gil Cutrim,depgilcutrim,gilcutrim,REPUBLICANOS,MA,0
Gilberto Abramo,gilbertoabramo,gilbertoabramo,REPUBLICANOS,MG,1
Gildemar Matos Coach,gildemarmatoscoach,,,,
Gilson Marques,gilson.marques.novo,gilson__marques,NOVO,SC,1
Giovani Cherini,deputadogiovanicherini,giovanicherini,PL,RS,1
Giovani Feltes,GiovaniFeltes1,GiovaniFeltes,MDB,RS,1
Glauber Braga,glauber.braga1,Glauber_Braga,PSOL,RJ,0
Glaustin da Fokus,glaustindafokus,glaustindafokus,PSC,GO,1
Gleisi Hoffmann,gleisi.hoffmann,gleisi,PT,PR,0
Gonzaga Patriota,DepGonzagaPatriota,,PSB,PE,
